company,year,energy_consumption,female_employees,ghg_scope_1,ghg_scope_2,living_wage_policy,modern_slavery_statement,total_waste_generated,total_waste_recycled,water_withdrawals,total_employees,supplier_list,supplied_by,address
1832 Asset Management LP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
3G Radar Gestora de Recursos Ltda.,2020,,,,,,No - neither,,,,,,,
AHL Partners LLP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AHL Partners LLP,2022,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AHL Partners LLP,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AHL Partners LLP,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AJO LP,2020,,,,,,No - neither,,,,,,,
AKO Capital LLP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AKO Capital LLP,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AKO Capital LLP,2022,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AKO Capital LLP,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AKO Capital LLP,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
ALLIANCEBERNSTEIN L.P.,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
ALLIANCEBERNSTEIN L.P.,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
ALLIANCEBERNSTEIN L.P.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AMF,2020,,,,,,No - neither,,,,,,,
AMG National Trust Bank,2020,,,,,,No - neither,,,,,,,
AMIRAL GESTION,2020,,,,,,No - neither,,,,,,,
APG Asset Management,2020,,,,,,No - neither,,,,,,,
AQR Capital Management,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AXA Investment Managers (Paris) SA,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AXA Investment Managers UK Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AXA Investment Managers UK Ltd.,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
AXA Investment Managers UK Ltd.,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Abercrombie & Fitch,2017,,,8116,70580,,,,,,,,,
