Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
1832 Asset Management LP,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
3G Radar Gestora de Recursos Ltda.,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
AHL Partners LLP,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AHL Partners LLP,2022,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AHL Partners LLP,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AHL Partners LLP,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AJO LP,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
AKO Capital LLP,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AKO Capital LLP,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AKO Capital LLP,2022,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AKO Capital LLP,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AKO Capital LLP,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
ALLIANCEBERNSTEIN L.P.,2017,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
ALLIANCEBERNSTEIN L.P.,2018,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
ALLIANCEBERNSTEIN L.P.,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AMF,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
AMG National Trust Bank,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
AMIRAL GESTION,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
APG Asset Management,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
AQR Capital Management,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AXA Investment Managers (Paris) SA,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AXA Investment Managers UK Ltd.,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AXA Investment Managers UK Ltd.,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AXA Investment Managers UK Ltd.,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abercrombie & Fitch,2017,NA,NA,8116,70580,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abercrombie & Fitch,2018,614068.056,NA,8817,62744,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abercrombie & Fitch,2019,NA,NA,NA,NA,No Living Wage Policy,NA,NA,NA,NA,NA,NA,NA,NA
Abercrombie & Fitch,2020,NA,NA,51449,51449,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abercrombie & Fitch,2022,NA,NA,NA,NA,NA,NA,NA,20617,NA,NA,NA,NA,NA
Abercrombie & Fitch,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,36,NA
Aberdeen Asset Management,2017,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2019,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2022,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aberdeen Asset Management,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2018,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2019,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2022,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Abrdn plc,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Acadian Asset Management,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Acadian Asset Management,2021,NA,NA,NA,NA,NA,Yes - Australian Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Acadian Asset Management,2024,NA,NA,NA,NA,NA,Yes - Australian Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
AcomeA SGR SpA,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Adage Capital Management LP,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2002,NA,6475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2003,NA,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2004,NA,6398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2005,NA,7489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2007,NA,15045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2008,NA,19101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
